content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Sebenarnya paling senang belanja di Shopee dibanding t4 lain, harga murah tapi ngak murahan sukaa aja pkknya hanya saja yg buat kecewa Spinjam nya padahal tidak perna telat bayar malah tidak bisa pjm lagi sangat kecewa, bintang 2 dulu nanti kalau Spinjam bisa pjm lagi nt ku ganti jadi bintang 5",1,Negatif,sebenarnya paling senang belanja di shopee dibanding t lain harga murah tapi ngak murahan sukaa aja pkknya hanya saja yg buat kecewa spinjam nya padahal tidak perna telat bayar malah tidak bisa pjm lagi sangat kecewa bintang  dulu nanti kalau spinjam bisa pjm lagi nt ku ganti jadi bintang ,senang belanja shopee dibanding t harga murah ngak murahan sukaa aja pkknya yg kecewa spinjam nya perna telat bayar pjm kecewa bintang spinjam pjm nt ku ganti bintang,"['senang', 'belanja', 'shopee', 'dibanding', 't', 'harga', 'murah', 'ngak', 'murahan', 'sukaa', 'aja', 'pkknya', 'yg', 'kecewa', 'spinjam', 'nya', 'perna', 'telat', 'bayar', 'pjm', 'kecewa', 'bintang', 'spinjam', 'pjm', 'nt', 'ku', 'ganti', 'bintang']",senang belanja shopee banding t harga murah ngak murah sukaa aja pkknya yg kecewa spinjam nya perna telat bayar pjm kecewa bintang spinjam pjm nt ku ganti bintang
"Ni shopii bagus sh... Tuk di kmati belanja disi.. Cuman satu.. Aplikasi lelet dikit loding nya.. Di perbaiki min. Trus lagi.. Aku mau belanjani sekarang aja ngak bisa belanja.. Dgn alasan alamat ku tdak mendukung dgn jsa pgiriman, alias cod nya ngak berlaku buat akun shopee ku.. Tlong dong akmin... Diaktifkan codny... Biar ngak susah. Kemaren2....bisa. Toh srkarang, ngak bisa.. Ada ksalhan apa dgn akun saya.",4,Positif,ni shopii bagus sh tuk di kmati belanja disi cuman satu aplikasi lelet dikit loding nya di perbaiki min trus lagi aku mau belanjani sekarang aja ngak bisa belanja dgn alasan alamat ku tdak mendukung dgn jsa pgiriman alias cod nya ngak berlaku buat akun shopee ku tlong dong akmin diaktifkan codny biar ngak susah kemarenbisa toh srkarang ngak bisa ada ksalhan apa dgn akun saya,ni shopii bagus sh tuk kmati belanja disi cuman aplikasi lelet dikit loding nya perbaiki min trus belanjani aja ngak belanja dgn alasan alamat ku tdak mendukung dgn jsa pgiriman alias cod nya ngak berlaku akun shopee ku tlong akmin diaktifkan codny biar ngak susah kemarenbisa srkarang ngak ksalhan dgn akun,"['ni', 'shopii', 'bagus', 'sh', 'tuk', 'kmati', 'belanja', 'disi', 'cuman', 'aplikasi', 'lelet', 'dikit', 'loding', 'nya', 'perbaiki', 'min', 'trus', 'belanjani', 'aja', 'ngak', 'belanja', 'dgn', 'alasan', 'alamat', 'ku', 'tdak', 'mendukung', 'dgn', 'jsa', 'pgiriman', 'alias', 'cod', 'nya', 'ngak', 'berlaku', 'akun', 'shopee', 'ku', 'tlong', 'akmin', 'diaktifkan', 'codny', 'biar', 'ngak', 'susah', 'kemarenbisa', 'srkarang', 'ngak', 'ksalhan', 'dgn', 'akun']",ni shopii bagus sh tuk kmati belanja disi cuman aplikasi lelet dikit loding nya baik min trus belanjani aja ngak belanja dgn alas alamat ku tdak dukung dgn jsa pgiriman alias cod nya ngak laku akun shopee ku tlong akmin aktif codny biar ngak susah kemarenbisa srkarang ngak ksalhan dgn akun
"Semakin kesini semakin hancur ni apk.. terlalu banyak fitur hp makin ngelag aja. Paling sebel klo sdg pembayaran melalui spay lemotnya minta ampun layar jadi putih semua, padahal jaringan penuh.. buka apk lain juga lancar spt game dll. Mohon developer segera di perbaiki terutama utk pembayaran via spay, dlu tidak spt ini. Thanks",2,Negatif,semakin kesini semakin hancur ni apk terlalu banyak fitur hp makin ngelag aja paling sebel klo sdg pembayaran melalui spay lemotnya minta ampun layar jadi putih semua padahal jaringan penuh buka apk lain juga lancar spt game dll mohon developer segera di perbaiki terutama utk pembayaran via spay dlu tidak spt ini thanks,kesini hancur ni apk fitur hp ngelag aja sebel klo sdg pembayaran spay lemotnya ampun layar putih jaringan penuh buka apk lancar spt game dll mohon developer perbaiki utk pembayaran via spay dlu spt thanks,"['kesini', 'hancur', 'ni', 'apk', 'fitur', 'hp', 'ngelag', 'aja', 'sebel', 'klo', 'sdg', 'pembayaran', 'spay', 'lemotnya', 'ampun', 'layar', 'putih', 'jaringan', 'penuh', 'buka', 'apk', 'lancar', 'spt', 'game', 'dll', 'mohon', 'developer', 'perbaiki', 'utk', 'pembayaran', 'via', 'spay', 'dlu', 'spt', 'thanks']",kesini hancur ni apk fitur hp ngelag aja sebel klo sdg bayar spay lot ampun layar putih jaring penuh buka apk lancar spt game dll mohon developer baik utk bayar via spay dlu spt thanks
"Aku punya ollshop juga cuma shopee deh. Meski sekarang ada tambahan biaya buat transaksi, tetep masih konsisten pakai shopee. Merasa lebih nyaman dan aman aja.",5,Positif,aku punya ollshop juga cuma shopee deh meski sekarang ada tambahan biaya buat transaksi tetep masih konsisten pakai shopee merasa lebih nyaman dan aman aja,ollshop shopee deh tambahan biaya transaksi tetep konsisten pakai shopee nyaman aman aja,"['ollshop', 'shopee', 'deh', 'tambahan', 'biaya', 'transaksi', 'tetep', 'konsisten', 'pakai', 'shopee', 'nyaman', 'aman', 'aja']",ollshop shopee deh tambah biaya transaksi tetep konsisten pakai shopee nyaman aman aja
"Saya hampir seminggu 3 kali belanja di shopee sudah hampir 3 tahun memakaibaplikasi ini tapi kenapa masih member platinum ya, terus sistem COD sering di matikan padahal pihak toko selalu membukanya ..",5,Positif,saya hampir seminggu  kali belanja di shopee sudah hampir  tahun memakaibaplikasi ini tapi kenapa masih member platinum ya terus sistem cod sering di matikan padahal pihak toko selalu membukanya ,seminggu kali belanja shopee memakaibaplikasi member platinum ya sistem cod matikan toko membukanya,"['seminggu', 'kali', 'belanja', 'shopee', 'memakaibaplikasi', 'member', 'platinum', 'ya', 'sistem', 'cod', 'matikan', 'toko', 'membukanya']",minggu kali belanja shopee memakaibaplikasi member platinum ya sistem cod mati toko buka
"Beli Produk Cacat dan ukuran produk tidak sesuai pesanan, sudah upload bukti foto-foto dan link video youtube unboxing (karena file besar tdk bisa upload video di shopee, ganti link upload diyoutube), tetap dianggap tidak bisa menunjukkan bukti produk cacat oleh Shopee. Shopee tidak obyektif/tidak adil, dan mempersulit konsumen yang komplain karena dirugikan.",1,Negatif,beli produk cacat dan ukuran produk tidak sesuai pesanan sudah upload bukti fotofoto dan link video youtube unboxing karena file besar tdk bisa upload video di shopee ganti link upload diyoutube tetap dianggap tidak bisa menunjukkan bukti produk cacat oleh shopee shopee tidak obyektiftidak adil dan mempersulit konsumen yang komplain karena dirugikan,beli produk cacat ukuran produk sesuai pesanan upload bukti fotofoto link video youtube unboxing file tdk upload video shopee ganti link upload diyoutube dianggap bukti produk cacat shopee shopee obyektiftidak adil mempersulit konsumen komplain dirugikan,"['beli', 'produk', 'cacat', 'ukuran', 'produk', 'sesuai', 'pesanan', 'upload', 'bukti', 'fotofoto', 'link', 'video', 'youtube', 'unboxing', 'file', 'tdk', 'upload', 'video', 'shopee', 'ganti', 'link', 'upload', 'diyoutube', 'dianggap', 'bukti', 'produk', 'cacat', 'shopee', 'shopee', 'obyektiftidak', 'adil', 'mempersulit', 'konsumen', 'komplain', 'dirugikan']",beli produk cacat ukur produk sesuai pesan upload bukti fotofoto link video youtube unboxing file tdk upload video shopee ganti link upload diyoutube anggap bukti produk cacat shopee shopee obyektiftidak adil sulit konsumen komplain rugi
"Parah banget shopee skrg. Banyak penipu jd seller. Saya salah 1 korban. Anehnya shopee malah bela penipu. Barang ga sampai malah uang tetap masuk ke sellernya. Padahal udah klik pengajuan kembali. Eh malah shopee dukung seler yg jelas2 menipu. Anehnya lg pas saya kasih bintang 1 ke seller, malah d sembunyikan. Hati2 deh bagi para pengguna shopee, terutama seller atas nama mayoss.store2 itu penipu",1,Negatif,parah banget shopee skrg banyak penipu jd seller saya salah  korban anehnya shopee malah bela penipu barang ga sampai malah uang tetap masuk ke sellernya padahal udah klik pengajuan kembali eh malah shopee dukung seler yg jelas menipu anehnya lg pas saya kasih bintang  ke seller malah d sembunyikan hati deh bagi para pengguna shopee terutama seller atas nama mayossstore itu penipu,parah banget shopee skrg penipu jd seller salah korban anehnya shopee bela penipu barang ga uang masuk sellernya udah klik pengajuan eh shopee dukung seler yg menipu anehnya lg pas kasih bintang seller d sembunyikan hati deh pengguna shopee seller nama mayossstore penipu,"['parah', 'banget', 'shopee', 'skrg', 'penipu', 'jd', 'seller', 'salah', 'korban', 'anehnya', 'shopee', 'bela', 'penipu', 'barang', 'ga', 'uang', 'masuk', 'sellernya', 'udah', 'klik', 'pengajuan', 'eh', 'shopee', 'dukung', 'seler', 'yg', 'menipu', 'anehnya', 'lg', 'pas', 'kasih', 'bintang', 'seller', 'd', 'sembunyikan', 'hati', 'deh', 'pengguna', 'shopee', 'seller', 'nama', 'mayossstore', 'penipu']",parah banget shopee skrg tipu jd seller salah korban aneh shopee bela tipu barang ga uang masuk sellernya udah klik aju eh shopee dukung seler yg tipu aneh lg pas kasih bintang seller d sembunyi hati deh guna shopee seller nama mayossstore tipu
"Makin lama makin lemot aja nih app. pantes aja kalo orang2 mulai beralih antara toko item yang lagi banyak vocer, atau setia ke si ijo karena emang lebih stabil. Shopee lama2 semakin tidak user friendly. Minta update Mulu tapi tampilan ga da yg signifikan perubahannya, yg ada malah makin berat. Tiap mau event pasti sampe ga bisa buka gambar produk saking lemotnya. Padahal jaringan internet aman. Reels video buat apa coba, ga manfaat. Ngisi ulasan banyak2 koinnya cuma 1 barang yg bisa diklaim. 👎",1,Negatif,makin lama makin lemot aja nih app pantes aja kalo orang mulai beralih antara toko item yang lagi banyak vocer atau setia ke si ijo karena emang lebih stabil shopee lama semakin tidak user friendly minta update mulu tapi tampilan ga da yg signifikan perubahannya yg ada malah makin berat tiap mau event pasti sampe ga bisa buka gambar produk saking lemotnya padahal jaringan internet aman reels video buat apa coba ga manfaat ngisi ulasan banyak koinnya cuma  barang yg bisa diklaim ,lemot aja nih app pantes aja kalo orang beralih toko item vocer setia si ijo emang stabil shopee user friendly update mulu tampilan ga da yg signifikan perubahannya yg berat event sampe ga buka gambar produk saking lemotnya jaringan internet aman reels video coba ga manfaat ngisi ulasan koinnya barang yg diklaim,"['lemot', 'aja', 'nih', 'app', 'pantes', 'aja', 'kalo', 'orang', 'beralih', 'toko', 'item', 'vocer', 'setia', 'si', 'ijo', 'emang', 'stabil', 'shopee', 'user', 'friendly', 'update', 'mulu', 'tampilan', 'ga', 'da', 'yg', 'signifikan', 'perubahannya', 'yg', 'berat', 'event', 'sampe', 'ga', 'buka', 'gambar', 'produk', 'saking', 'lemotnya', 'jaringan', 'internet', 'aman', 'reels', 'video', 'coba', 'ga', 'manfaat', 'ngisi', 'ulasan', 'koinnya', 'barang', 'yg', 'diklaim']",lot aja nih app pantes aja kalo orang alih toko item vocer setia si ijo emang stabil shopee user friendly update mulu tampil ga da yg signifikan ubah yg berat event sampe ga buka gambar produk saking lot jaring internet aman reels video coba ga manfaat ngisi ulas koin barang yg klaim
"dengan shopee belanja lebih mudah, dan pas belanja milih sambil rebahan dan waktu yang lama jadi lebih enak.. tapi sekarang setiap mau checkout selalu ada biaya tambahan & penanganan...",4,Positif,dengan shopee belanja lebih mudah dan pas belanja milih sambil rebahan dan waktu yang lama jadi lebih enak tapi sekarang setiap mau checkout selalu ada biaya tambahan  penanganan,shopee belanja mudah pas belanja milih rebahan enak checkout biaya tambahan penanganan,"['shopee', 'belanja', 'mudah', 'pas', 'belanja', 'milih', 'rebahan', 'enak', 'checkout', 'biaya', 'tambahan', 'penanganan']",shopee belanja mudah pas belanja milih rebah enak checkout biaya tambah tangan
Maaf saya sudah pakai Shopee 3 tahunan dan kalau belanja selalu di Shopee. Dan saya tidak pernah bermasalah dalam pembayaran. Tp saya lagi pas butuh pengajuan spaylater selalu ditolak udah 2x pengajuan ditolak terus.,1,Negatif,maaf saya sudah pakai shopee  tahunan dan kalau belanja selalu di shopee dan saya tidak pernah bermasalah dalam pembayaran tp saya lagi pas butuh pengajuan spaylater selalu ditolak udah x pengajuan ditolak terus,maaf pakai shopee tahunan belanja shopee bermasalah pembayaran tp pas butuh pengajuan spaylater ditolak udah x pengajuan ditolak,"['maaf', 'pakai', 'shopee', 'tahunan', 'belanja', 'shopee', 'bermasalah', 'pembayaran', 'tp', 'pas', 'butuh', 'pengajuan', 'spaylater', 'ditolak', 'udah', 'x', 'pengajuan', 'ditolak']",maaf pakai shopee tahun belanja shopee masalah bayar tp pas butuh aju spaylater tolak udah x aju tolak
"Lelet parah !!!!! Malah gak bisa log in jaringan full ,ttp aja lelet,penyimpanan masih jauh dri kata penuh!",1,Negatif,lelet parah  malah gak bisa log in jaringan full ttp aja leletpenyimpanan masih jauh dri kata penuh,lelet parah gak log in jaringan full ttp aja leletpenyimpanan dri penuh,"['lelet', 'parah', 'gak', 'log', 'in', 'jaringan', 'full', 'ttp', 'aja', 'leletpenyimpanan', 'dri', 'penuh']",lelet parah gak log in jaring full ttp aja leletpenyimpanan dri penuh
Hati hati belanja di shopee. Banyak penjual penipu. Barang sudah dikembalikan namun dana tidak dikembalikan. Alasan shopee menunggu penjual memeriksa barang dan memproses pengembalian dana. Bagaimana penjual bisa memproses pengembalian dana kalo memang niat nya menipu. Padahal penjual sdh terima barang yg dikembalikan seminggu lamanya. Mending tokopedia & blibli. Atau jangan jangan org dalam shopee terlibat jaringan sindikat penipuan jual beli online?,1,Negatif,hati hati belanja di shopee banyak penjual penipu barang sudah dikembalikan namun dana tidak dikembalikan alasan shopee menunggu penjual memeriksa barang dan memproses pengembalian dana bagaimana penjual bisa memproses pengembalian dana kalo memang niat nya menipu padahal penjual sdh terima barang yg dikembalikan seminggu lamanya mending tokopedia  blibli atau jangan jangan org dalam shopee terlibat jaringan sindikat penipuan jual beli online,hati hati belanja shopee penjual penipu barang dikembalikan dana dikembalikan alasan shopee menunggu penjual memeriksa barang memproses pengembalian dana penjual memproses pengembalian dana kalo niat nya menipu penjual sdh terima barang yg dikembalikan seminggu mending tokopedia blibli org shopee terlibat jaringan sindikat penipuan jual beli online,"['hati', 'hati', 'belanja', 'shopee', 'penjual', 'penipu', 'barang', 'dikembalikan', 'dana', 'dikembalikan', 'alasan', 'shopee', 'menunggu', 'penjual', 'memeriksa', 'barang', 'memproses', 'pengembalian', 'dana', 'penjual', 'memproses', 'pengembalian', 'dana', 'kalo', 'niat', 'nya', 'menipu', 'penjual', 'sdh', 'terima', 'barang', 'yg', 'dikembalikan', 'seminggu', 'mending', 'tokopedia', 'blibli', 'org', 'shopee', 'terlibat', 'jaringan', 'sindikat', 'penipuan', 'jual', 'beli', 'online']",hati hati belanja shopee jual tipu barang kembali dana kembali alas shopee tunggu jual periksa barang proses kembali dana jual proses kembali dana kalo niat nya tipu jual sdh terima barang yg kembali minggu mending tokopedia blibli org shopee libat jaring sindikat tipu jual beli online
"Shopee tolonglah perbarui sistemny, bikinlah pilihan variasi lebih dr 1 ,atau sesuai jumlah yg dipesan. Buat apa ada catatan pesanan , kalu admin seler²nya malas untuk baca / ngga sempat baca. bahkan dichat pun ngga di respon. Pesan barang banyak pengen beda varian masa harus pesen 1.1 apaan dah.",1,Negatif,shopee tolonglah perbarui sistemny bikinlah pilihan variasi lebih dr  atau sesuai jumlah yg dipesan buat apa ada catatan pesanan  kalu admin selernya malas untuk baca  ngga sempat baca bahkan dichat pun ngga di respon pesan barang banyak pengen beda varian masa harus pesen  apaan dah,shopee tolonglah perbarui sistemny bikinlah pilihan variasi dr sesuai yg dipesan catatan pesanan kalu admin selernya malas baca ngga baca dichat ngga respon pesan barang pengen beda varian pesen dah,"['shopee', 'tolonglah', 'perbarui', 'sistemny', 'bikinlah', 'pilihan', 'variasi', 'dr', 'sesuai', 'yg', 'dipesan', 'catatan', 'pesanan', 'kalu', 'admin', 'selernya', 'malas', 'baca', 'ngga', 'baca', 'dichat', 'ngga', 'respon', 'pesan', 'barang', 'pengen', 'beda', 'varian', 'pesen', 'dah']",shopee tolong baru sistemny bikin pilih variasi dr sesuai yg pes catat pesan kalu admin selernya malas baca ngga baca dichat ngga respon pesan barang ken beda varian sen dah
