content,score,Label
"Mau sedikit cerita sebelum nya saya belanja online di aplikasi L karna sering ditipu sudah gitu lama,akhirnya saya pindah ke S ternyata awalnya saja kiriman cepat setelah pake Shopeepay malah sering lama datengnya,apalagi pengiriman lewat Shopee express wah tambah dilama lamain,mohon di tingkatkan lagi soal Shopee express",3,
"Saya sdh ketipu beli hp kw gara2 saya serch di pencarian hp 1,2jt yg di tampilin di paling atas/recomendasi malah hp yg ga ada mereknya. Alhasil saya melampiaskan kekesalan saya kasih bintang 1 ke toko yg jual, sama apk ini. Edit : saya sdh minta pengembalian barang tapi di tolak dan saya chat yg punya toko gak dibalas",1,Negatif
"Ini shopee knpa ga bisa di buka sih ya, pdahal jaringan bagus, udh di update pula. Pdahal sya mau bayar tunggakan klo gini caranya jangan salahin sya klo bayar telat..",3,
"Sudah coba hapus cache, berulang kali update dan berulang kali juga hapus terus install ulang aplikasi nya tapi tetap selalu error, mau pesan dan bayar pakai shopepay juga tidak bisa error nya kebangetan 😡 mau coba chat live shope juga nggk bisaaaaa Hufftt",3,
"Aplikasinya jadi lemot, padahal jaringan oke, hp ram nya juga besar tapi beberapa hari ini aplikasinya jadi berat... Ada beberapa fitur yang kjrang berfaedah alangkah baiknya dihilangkan saja... Sekedar saran biar pengguna juga meeasa nyaman...",2,Negatif
Kenapa saya tidak bisa mendapatkan limit pinjaman dari shopee dan SplaterNya tidak bisa di gunakan. Tolong di tindak lanjuti. Karena saya belanja online hanya di shopee saja dari dulu sampai sekarang. Terima kasih,5,Positif
Sialan banget lah ini apk...masa abis bayar spaylater nya ngga aktif lagi udah 5 bulan sampe skrng kaga di akfitin lagi masih di kunci kaga bisa digunakan lagi..pedahal sy udah bayar lunas spaylater nya..di suruh nunggu secara berkala...asuuu lah.,1,Negatif
"Belakangan ini saya sering kecewa belanja di Shopee,order COD kurir tidak ada menghubungi terlebih dahulu tiba-ada notifikasi pesanan di BATALKAN,tidak ada no kurir yg bisa di hubungi seperti di LAZADA,kurir LAZADA menghubungi terlebih dahulu sebelum mengirimkan paket & kurirnya pun bisa di hubungi terlebih dahulu,karena ada no kontak yg tentara,,,,,,",5,Positif
"Belanja di shopee serba lama, estimasi proses lama, pengiriman lama. Seller nya proses nya serba slow. Ga seperti toko hijau yg serba gercep.",5,Positif
"Hallo shopee, ko aplikasi nya lemot banget yah padahal sinyal bagus, sampe saya uninstall trus sya install lagi tp tetap seperti ini. Lemot dan tdk berfungsi dengan baik, saya mau cek pemgirimn udah sampe mana tapi gabisa. Minta tolong di perbaiki yah, terimakasih.",4,Positif
"Dalam 1 hari sudah upgrade 2x. Aplikasi tambah berat,padahal jaringan bagus untuk semua apliakasi. Begitu masuk shopee lemotnya kebangetan Trs buat apa fungsinya buat upgrade payahh",1,Negatif
"Knp sering bermasalah akhir² ini ( halaman bermasalah silahkan coba lagi) padahal Kouta masih banyak, buka yutube, FB , top*d lancar ,,ahh parah , nyeselin, bikin tensi naik",2,Negatif
Aplikasinya makin berat dan lemot parah udah gitu sekarang klo pesen apa2 mesti pengirimannya itu lamaaaaa padahal udah nambah2 biaya dll terutama ekspedisi anteraja ngirim dri jakarta ke bekasi doang bisa semingguan lebih,2,Negatif
"Dulunya saya suka dengan Shopee,, tapi karena ada seller yang tidak menjual barang sesuai iklan, dan pihak shopee pun tidak ada solusi yang baik,maka rating saya ckup 1 bintang saja, alias mengecewakan.👎👎",1,Negatif
"Biaya penanganan makin lama harganya makin gak ngotak bisa nyampe 10 k nan lebih, malah keren lazada, biaya ongkir ga berat, VOC dison banyak, ga ada biaya penanganan dll yg bikin kantong nangis",1,Negatif
"Saldo di isi masuk , di buat belanja keterangan nya akun di batasi, saldo di tf ke akun lain gak bisa , Minta tolong aktifkan lagi akunnya gak di gubris , emang saldonya cuma 245.000 ribu gak banyak tapi buat kami kaum mending"" lumayan loh 🥺🥺🥺 ulasan akan saya perbaiki kalau akun saya sudah bisa di buat transaksi kembali untuk belanja dan transfer saldo .",1,Negatif
"Aplikasinya terlalu cepat update, dengan fitur-fitur yang seharusnya tidak di perlukan. itu yang menyebabkan aplikasinya terlalu berat dan lambat saat di buka. saya rasa perlu di pertimbangkan lagi jika aplikasi ini di update.🙏",2,Negatif
"Tolong tim shopee coba bisa ditindak penjual penjual gak disiplin kalo bisa dana shopeepay pembeli langsung masuk lagi ke akun jika penjual tidak merespon pengajuan pembatalan.kadang jengkel sama masalah ini sudah saya chat penjualnya bilangnya sudah di acc maksudnya apa di acc, sudah aja tekan tolak pengiriman barang(susah amat!l) hidup jangan suka mempersulit orang.",2,Negatif
"Shopee gak jelas. Gausah deh belanja di shopee. Parah.. gw mau bayar tagihan aplikasi nya error gak bisa2 dibuka, udah coba hapus chache, logout login lagi, uninstal dan instal ulang tetep gabisa. Trus besoknya gw dikenain denda. Trus gw email minta hapus denda gak bisa. Gilaaakkk.. shopee yang salah error aplikasinya. Gw yg harus tanggung denda nya. Lu sehat? Shopee bukannya makin kedepan makin bagus, malah makin buruk. Mending belanja di tokopedia deh.. makasih udah buat gw sangat2 kecewa!!!",4,Positif
"Mohon untuk di tambahkan opsi pemilihan ekpedisi pada saat chek out . Untuk saat ini,opsi untuk memilih ekspedisi hanya tersedia setelah chek out. Terkadang setelah chek out,kami sering lupa mengatur jasa ekpedisi,yang akhirnya systemlah yang menentukan jasa ekspedisi yang di gunakan untuk pengiriman barang yang membuat pesanan kami lama sampainya,karena di beberapa daerah hanya ekspedisi tertentu yang bisa menjangkau tempat kami dengan cepat.",1,Negatif
"Sampai hari ini, Masih setia menggunakan shopee. Kritik membangun : Seringlah sidak & di publish, terhadap toko yg secara awam sudah terlihat sebagai modus penipuan, agar tidak ada lagi pelanggan yg dirugikan oleh oknum toko2 seperti tersebut diatas",5,Positif
Semakin kesini smakin amburadul Shopie nya tambah lelet padah sinyal bagus. Sungguh sangat d sayang kan dulu Shopie aplikasi yang bisa d andal kan sekarang tambah amburadul,1,Negatif
"Spinjam shopee kurang ajar dibayar lunas sampai tahun berikutnya eh tagihan saya membekak 90 derajat, padahal saya baru nunggak tagihan bulan ini 2 hr.dan itu uda saya lunasin + bunga dan denda. Trus saya lanjut untuk finalti sampai th depan saya bayar semua. Malah membengkak lebih dr tagihan yg tertera di aplikasi yg telah saya hitung sebelum bayar. Kerugian saya selain bayar denda dan bunga 1,5 jt lebih. Tolong dong balikin uang saya.jgn melebihin lintah darat. Sungguh kecewa kecewa",1,Negatif
"Aplikasi bermanfaat buat belanja online.banyak barang pilihan dan harga bersaing.cuma sayang,expedisi terkadang lambat.contoh pembeli dari lubuk linggau,toko yg dipesan dari palembang,padahal masih lokal.harus nya cepat.ini mah dibawa transit dulu ke luar provinsi lampung bengkulu,kadang ke jakarta jga.hadehhh kasih tau dong buat pelayanan expedisi jgn sampai memperlambat barang sampai.jangan bkin pembeli menolak pesanan, gara2 keterlambatan nyampe.",3,
"Udah pake shopee dari jaman pertama kali muncul dulu. Sempat pindah ke lain hati karena tarif ongkir lebih mahal dan bonus pelit (tahun lalu), sekarang balik lagi karena lebih lengkap sih jualannya terus ongkirnya balik murah lagi apalagi sekarang shopee express juga sudah lebih baik daripada awal muncul :) hanya saja nih gambarnya di aplikasi sering nggak loading loh, padahal koneksi lancar jaya. Lagi asik browsing, cari-cari barang, gambarnya kosong. Jadi gagal checkout. 😩🤭",4,Positif
Sehari ini tiap buka keranjang ada notif halaman bermasalah knp ya. Sdh sy hapus tp kok msh ada d keranjang. Kl buka d menu lain gk ada masalah,3,
"Shopee akhir-akhir ini sering mengalami kendala dalam memuat produk, padahal sinyal sudah bagus. Dengan alasan 'sistem sedang di update'. Dan juga sekarang ada tambahan biaya layanan saat check out barang. Sebenarnya tidak masalah, hanya harus diimbangi dengan gratis ongkirnya saja. Susah sekali mendapat gratis ongkir",2,Negatif
"Lemotttttt bangetttt, jadi makin males buat pakai shopee, sellernya pada lama, pengemasan, pengiriman barang ga secepat *iktokshop cuma itungan jam barang langsung dikirim di hari yg sama, ditambah embel2 biaya tambahan setiap checkout 🤪 setelah barang sampai mau uninstall aja deh",1,Negatif
Minta tolong dong aplikasi yg sekarang lelet nya minta ampun 😮‍💨padahal mau lihat riviuw/komtar orang ko loading nya lama dan saat login akun juga loading nya super lama padahal jaringan bagus .,5,Positif
"Belum telat 1 bln bayar spinjam/spaylater bagian penagihan udah pake ancam2 segala macam, padahal udah dibayar secara cicil masih main ancam2 dan itupun belum 1 bln,utang ga seberapa...kalau ga bisa menagih baik2 sy nyakin banyak nasabah pinjam akan melarikan utang nya.yg lucu nya sdh tau nasabah ga teratur bayar utang tp stlah lunas masih juga diberi pinjaman,masih butuh nasabah tapi mulut kasar saat penagihan.ga bisa bedain mana yg ga ada niat bayar sm yg bayar secara cicil tp pasti lunas",1,Negatif
"Min ,semenjak update apk ny sering ngebug ..saya njelasin ke cs juga cuma disuruh hapus data sma cache ..internet normal ,memori kosong 5 gb ..masa iya ,setiap mau pake apk shopee harus hapus data sma cache ,yg bener aj lu bang ..",3,
"Parah kalo main apk ini berasa banget jaringan lemot. Padahal aplikasi lain lancar, shopee tolong perbaiki dong. Kamu kesukaanku banget dibanding apk jual beli yg lain. Masa mau beli barang aja harus emosi karena aplikasinya yang berat bngt ga jalan jalan",1,Negatif
"Sangat bermanfaat karena ada pemberitahuan mengenai barang ORI 100%, jadi ya ga takut lagi kalo dapet barang yang kw di online,kalo masalah lama atau penjual ga ramah,jangan yang disalahin aplikasi nya, ITS okay itu aja dari saya, thanks for your",5,Positif
"Makin diperbarui makin eror aja, fitur menonton video sangat tidak berguna malah mengganggu pembeli untuk belanja, tolong perbaiki kalo gini terus jadi mau pindah pake aplikasi lain aja",1,Negatif
"Bisanua selalu baik"" aja tapi kali ini baru dibikin kecewa sampe segitunya, udah tiba"" status pengiriman dikembalikan penjual, baik penjual, agen shopee sama cs shopee expressnya ngga ngasih solusi, udah gitu ngga bisa dibatalkan konsumen harus nunggu pembatalan sistem.",2,Negatif
"Sistem pencarian Shopee busuk banget! Gak kaya kompetitornya masa gw nyari Asus rogphone 5 bekas yang keluar hp hp kw gak jelas! Sedangkan di si ijo hasil nya sesuai apa yang gw ketik! Benerin tuh sistem pencari nya, jangan selalu nampilin barang best seller tapi nampilin barang yang sedang di cari!",2,Negatif
"Sekarang shopee kalo di luar jabodetabek ongkirnya dikurangin kayak 5k atau 10k gitu kalo misal total belanjanya 40 an ribu. Kadang 25k si ongkirnya tapi itu jarang banget, tapi kedepannya boleh dong shopee kurangin ongkirnya kalo belanja di bawah 40k, hehe",3,
"Bintang 2untuk mu,baru aja dowlod,trus daptar alamat sudah pas no hp sudah aktip,data"" yg lain jugak lengkap,masalah nya knapa transaksi COD ndak bisa??.sya baru satu kali blanja pas saya mau blanja lagi tiba"" trans saksi COD ndak bisa,padahal sya tidak pernah buat planggaran di aplikasi shopee,udah gitu nunggu 60 hari jugak,kecewa dngan aplikasi ini",2,Negatif
"Hai shopee Aplikasi sangat bermasalah. Jaringan baik baik saja, tapi aplikasi susah di buka. Sudah di hapus data mau log in kembali tapi tidak bisa dengan alasan jaringan buruk. Sudah di update juga tapi tetap tidak bisa dibukaa. Mohon perbaiki🙏",1,Negatif
"Ada orang dalem kah? ko sering ngeleg?padahal sinya bagus,tolong sistemnya diperbaiki!!!,jangan pilih kasih lah bagi rata jaringan,shopee makin pelit tambah pelit,di shope game ga ada event yg menarik semuanya tambah pelit",1,Negatif
"Kenapa sih banyak bgt biaya lain2nya sekarang? gak mau kayk dlu klo gratis ongkir ya gratis ongkir, lah skrg banyak bgt biaya lain2nya malah lebih mahal dari pada yg di beli. Bisa tambah bayarnya pakai gopay gak sih, pake shoppepay ribet banget, kalo top up pakai mobile banking mahal bgt biaya adminnya.",2,Negatif
"Saya beli cod. Pertama lupa ganti alamat jadi dibatalkan . Kedua lupa make voucher toko jadi dibatalkan . Ketiga pake pengiriman hemat , harusnya reguler jadi dibatalkan . Lalu gabisa lagi cod ... Katanya sudah mencapai batas cod . SAYA BAHKAN BELUM PERNAH PAKE COD",4,Positif
"Bintang saya kurangi Soalnya sekarang aplikasinya lemott Udah di update tetep ajja lemoot. Padahal saya mau byar tagihan Sampai saat ini gak bisa Nanti kalo sampai kena denda saya yang di salahin,padahal dari aplikasi ya yang gak bisa",2,Negatif
Pesanan kok bisa di kembalikan ke penjual Alasan karena penerima menolak menerima barang pesanan Sementara kurir tidak memberi info sama sekali bahwasa nya barang sudah di antar ke alamat tujuan,3,
Saya sudah bbrapa tahun bertahan member platinum di shopee karena saya langganan keras belanja di shopee tapi akhir 2 ini shopee sering nge lag & sulit melakukan transaksi. Itu cukup mengganggu bisnis saya. Coba tingkatkan lagi kualitas aplikasi nya.,5,Positif
"bagus dari segi estimasi, pengiriman, kurir juga ok. Recommended buat belanja aman,. sya berharap limit paylater bisa naik.karna belanja barang yg harganya lumayan tinggi berat buat bayar cash",5,Positif
"Sebenarnya paling senang belanja di Shopee dibanding t4 lain, harga murah tapi ngak murahan sukaa aja pkknya hanya saja yg buat kecewa Spinjam nya padahal tidak perna telat bayar malah tidak bisa pjm lagi sangat kecewa, bintang 2 dulu nanti kalau Spinjam bisa pjm lagi nt ku ganti jadi bintang 5",1,Negatif
"Ni shopii bagus sh... Tuk di kmati belanja disi.. Cuman satu.. Aplikasi lelet dikit loding nya.. Di perbaiki min. Trus lagi.. Aku mau belanjani sekarang aja ngak bisa belanja.. Dgn alasan alamat ku tdak mendukung dgn jsa pgiriman, alias cod nya ngak berlaku buat akun shopee ku.. Tlong dong akmin... Diaktifkan codny... Biar ngak susah. Kemaren2....bisa. Toh srkarang, ngak bisa.. Ada ksalhan apa dgn akun saya.",4,Positif
"Semakin kesini semakin hancur ni apk.. terlalu banyak fitur hp makin ngelag aja. Paling sebel klo sdg pembayaran melalui spay lemotnya minta ampun layar jadi putih semua, padahal jaringan penuh.. buka apk lain juga lancar spt game dll. Mohon developer segera di perbaiki terutama utk pembayaran via spay, dlu tidak spt ini. Thanks",2,Negatif
"Aku punya ollshop juga cuma shopee deh. Meski sekarang ada tambahan biaya buat transaksi, tetep masih konsisten pakai shopee. Merasa lebih nyaman dan aman aja.",5,Positif
"Saya hampir seminggu 3 kali belanja di shopee sudah hampir 3 tahun memakaibaplikasi ini tapi kenapa masih member platinum ya, terus sistem COD sering di matikan padahal pihak toko selalu membukanya ..",5,Positif
"Semakin kesini gratis ongkirnya gak ada sama sekali , kecewa , padahl belanja banyak trus tiap minggu , jadi harus belanja sekali sebulan 😑😑😑",3,
"Beli Produk Cacat dan ukuran produk tidak sesuai pesanan, sudah upload bukti foto-foto dan link video youtube unboxing (karena file besar tdk bisa upload video di shopee, ganti link upload diyoutube), tetap dianggap tidak bisa menunjukkan bukti produk cacat oleh Shopee. Shopee tidak obyektif/tidak adil, dan mempersulit konsumen yang komplain karena dirugikan.",1,Negatif
"Parah banget shopee skrg. Banyak penipu jd seller. Saya salah 1 korban. Anehnya shopee malah bela penipu. Barang ga sampai malah uang tetap masuk ke sellernya. Padahal udah klik pengajuan kembali. Eh malah shopee dukung seler yg jelas2 menipu. Anehnya lg pas saya kasih bintang 1 ke seller, malah d sembunyikan. Hati2 deh bagi para pengguna shopee, terutama seller atas nama mayoss.store2 itu penipu",1,Negatif
"Makin lama makin lemot aja nih app. pantes aja kalo orang2 mulai beralih antara toko item yang lagi banyak vocer, atau setia ke si ijo karena emang lebih stabil. Shopee lama2 semakin tidak user friendly. Minta update Mulu tapi tampilan ga da yg signifikan perubahannya, yg ada malah makin berat. Tiap mau event pasti sampe ga bisa buka gambar produk saking lemotnya. Padahal jaringan internet aman. Reels video buat apa coba, ga manfaat. Ngisi ulasan banyak2 koinnya cuma 1 barang yg bisa diklaim. 👎",1,Negatif
"dengan shopee belanja lebih mudah, dan pas belanja milih sambil rebahan dan waktu yang lama jadi lebih enak.. tapi sekarang setiap mau checkout selalu ada biaya tambahan & penanganan...",4,Positif
Maaf saya sudah pakai Shopee 3 tahunan dan kalau belanja selalu di Shopee. Dan saya tidak pernah bermasalah dalam pembayaran. Tp saya lagi pas butuh pengajuan spaylater selalu ditolak udah 2x pengajuan ditolak terus.,1,Negatif
"Lelet parah !!!!! Malah gak bisa log in jaringan full ,ttp aja lelet,penyimpanan masih jauh dri kata penuh!",1,Negatif
Hati hati belanja di shopee. Banyak penjual penipu. Barang sudah dikembalikan namun dana tidak dikembalikan. Alasan shopee menunggu penjual memeriksa barang dan memproses pengembalian dana. Bagaimana penjual bisa memproses pengembalian dana kalo memang niat nya menipu. Padahal penjual sdh terima barang yg dikembalikan seminggu lamanya. Mending tokopedia & blibli. Atau jangan jangan org dalam shopee terlibat jaringan sindikat penipuan jual beli online?,1,Negatif
"Shopee tolonglah perbarui sistemny, bikinlah pilihan variasi lebih dr 1 ,atau sesuai jumlah yg dipesan. Buat apa ada catatan pesanan , kalu admin seler²nya malas untuk baca / ngga sempat baca. bahkan dichat pun ngga di respon. Pesan barang banyak pengen beda varian masa harus pesen 1.1 apaan dah.",1,Negatif
Semakin di perbarui malah buruk. Mau bayar pulsa saja via shopee pay selalu terkendala tidak bisa input pin dan langsung menjadi pembayaran proses verifikasi (menunggu pembayaran)... Kejadian yg sama mulai tgl 17 mei dan 31 Mei 2023... Hari ini tgl 08/06/2023 terulang kembali. Apakah memang tidak ada perbaikan dari sistem/IT Shopee..?? Masa iya kendala yg sama terulang kembali sampai 3x di tgl yg berbeda?.. Gag bisa untuk dibuat urgensi.. Lebih baik dari yg sebelumnya (sebelum diperbarui),1,Negatif
"Ini mulai dari tanggal 1 saya mau belanja mau bayar barang ngak bisa.. Padahal signal bagus,tapi aplikasi mu dah beratttt skali kayaknya udah susah dipake belanja. Mending tutup sj klo bgtu mah ngk usah jadi aplikasi belanja",1,Negatif
"Habis update malah kacau. Setiap dibuka apknya malah gabisa di apa2in, & ada keterangan halaman sedang dlm perbaikan. Sangat menyebalkan",5,Positif
Sejak update laman aplikasi sering terjadi masalah dan kembali ke halaman awal... Shopee ada gangguan ta?? Knp barang di keranjang belanja sampai dobel-dobel?,3,
"Shopee aplikasi belanja on line yg sangat baik, membantu sekali bagi yg malas belanja ke luar. Lebih mudah dan cepat. Kalau lagi butuh sekali dan belum ada budget untuk belanja, bisa pay letter. Terima kasih shopee.",5,Positif
"Shopee gw napa min kok dah dari mei gak bisa dipencet apa² ,terus ada tulisan retry setiap pencet padahal punya kuota sndri, pas pake WiFi jg gak bisa tetep ada tulisan retry, padahal sudah di update tetep gak bisa ny1n9 🙂 🙂",2,Negatif
"kenapa untuk buka spinjam sangat sulit apa ada trouble apa gimana kok tidak ada pemberitahuan jangan salahkan member apabila terjadi keterlambatan pembayaran,sudah 3hari ini untuk fitur spinjam tdk bisa dibuka,dan juga untuk menghubungi cc jg tdk bisa,mohon pemberitahuannya apabila ada trouble",2,Negatif
"Perbaiki dong masalah delay-nya, klo buka shoope lama kadang suka delay klo mau liat barang, udah di pencet berkali-kali tapi ga ganti"", sampe harus keluar masuk aplikasi biar ga delay",3,
"Jangan mau daftar paylater di aplikasi ini,kalian pasti kecewa suatu saat. Jika terdapat kesalahan mreka gk bsa bantu. Saya aja pembayaran bagus tiba2 di nonaktifkan paylater saya dgn alasan bodoh yg gk masuk akal. Hati2 dgn aplikasi ini ia jgn terlalu percaya krna kalian msh pertama daftar. Cs nya semua tolol,gk ada solusi dri mreka. Setiap di tanya semua buang badan,alasan sesuai kebijakan. PT.Commerce finance itu kerjasama dgn mreka, bila perlu jgn di bayar.",1,Negatif
"Lemot bnget si shopee skrang ,baru aja gabisa dibuka sama sekali , udah uninstal trs instal lagi ttp gabisa dbuka sma sekali , tolong dong admin diperbaiki lagi sistem aplikasinya biar gak lemotan",2,Negatif
"Bagus mempermudah banget pokok nya . Semua kebutuhan bisa terpenuhi dgn aplikasi itu dan sesuai dgn yg di gambar . Dan bnyk diskon² . Walaupun kdang aplikasi nya agak sedikit ngelag . Padahal sudah di update , mohon di perbaiki ,lbih mudah lagi.",4,Positif
"Maaf saya turunin rating Shopee, karena setelah d update suka tiba² keluar sendiri. Membuat saya risih, kalau bisa secepatnya lebih baik d perbaiki.",1,Negatif
